stop_area_id,stop_area_name,group,priority,type
OAB:Navitia:AIX-24090,08 Mai 1945,0,0,proposal_accepted
OAB:Navitia:AIX-21230,08 Mai 1945,0,1,proposal_accepted
OM9:MAMP-S22309,08 Mai 1945,1,0,proposal_accepted
D13:MAMP-S22309,08 Mai 1945,1,1,proposal_accepted
OET:BDE-BE08M1,8 Mai 1945,1,2,proposal_accepted
OET:BDE-BE08M2,8 Mai 1945,1,3,proposal_accepted
OMT:Navitia:VA11NS,11 Novembre,2,0,proposal_accepted
OMT:Navitia:VA11NN,11 Novembre,2,1,proposal_accepted
Z06:Navitia:01985-0606900,11 Novembre,3,0,proposal_accepted
OPD:STA-STP-0001,11 Novembre,3,1,proposal_accepted
OPD:STA-STP-1270,Square du 11 Novembre,3,2,proposal
Z83:Navitia:03277-8301600,11 Novembre 1918,4,0,proposal
Z83:Navitia:03276-8301600,11 Novembre 1918,4,1,proposal
Z83:Navitia:03285-8305400,1323 Chemin de Hyères,5,0,proposal_accepted
Z83:Navitia:03284-8305400,1323 Chemin de Hyères,5,1,proposal_accepted
DLV:Navitia:STOPPOINT:267,19 Mars 1962,6,0,proposal_accepted
Z04:Navitia:00963-0417200,Place du 19 Mars 1962,6,1,proposal_accepted
OET:BDE-VI19M2,19 Mars 62,7,0,proposal
OET:BDE-VI19M1,19 Mars 62,7,1,proposal
OET:BDE-BDE-VI19M2,19 Mars 62,7,2,proposal
OET:BDE-BDE-VI19M1,19 Mars 62,7,3,proposal
OMT:Navitia:HY1BOO,1ERS Borrels,8,0,proposal_accepted
OMT:Navitia:HY1BOE,1ERS Borrels,8,1,proposal_accepted
OMT:Navitia:GA1DFO,1ère Dfl,9,0,proposal_accepted
OMT:Navitia:GA1DFE,1ère Dfl,9,1,proposal_accepted
OMT:Navitia:SE2CHO,2 Chênes,10,0,proposal_accepted
OMT:Navitia:SE2CHE,2 Chênes,10,1,proposal_accepted
AGG:Navitia:242,21ème Rima,11,0,proposal_accepted
AGG:Navitia:241,21ème Rima,11,1,proposal_accepted
OZT:Navitia:MEN2CIA2,2435 Route des Ciappes,12,0,proposal_accepted
OZT:Navitia:MEN2CIA1,2435 Route des Ciappes,12,1,proposal_accepted
OMT:Navitia:HY2BOS,2ÈMES Borrels,13,0,proposal_accepted
OMT:Navitia:HY2BON,2ÈMES Borrels,13,1,proposal_accepted
OIG:Navitia:128,2ème Db,14,0,proposal_accepted
OIG:Navitia:1126,2ème Db,14,1,proposal_accepted
OZT:Navitia:RCM2ESC1,2ème Escalier,15,0,proposal_accepted
Z06:Navitia:00701-0610400,2ème Escalier,15,1,proposal_accepted
Z06:Navitia:01502-0610400,2ème Escalier,15,2,proposal_accepted
Z06:Navitia:00668-0610400,1er Escalier,15,3,proposal
Z06:Navitia:01510-0610400,1er Escalier,15,4,proposal
